tolerance_m,n_components,total_length_km,largest_component_km,largest_component_share
0,2196,2791.723332081415,68.99487050602596,0.02471407883193988
5,2160,2791.6752852944387,68.99487050602596,0.024714504179431832
10,2025,2791.5436610053507,68.99487050602596,0.024715669494912378
20,1827,2791.141538113931,68.99487050602596,0.024719230309132992
50,1467,2789.7021656167985,68.99487050602596,0.024731984423423677
